UID          PID    PPID  C STIME TTY          TIME CMD
root         240       2  0 14:28 ?        00:00:00 [scsi_eh_19]
root         241       2  0 14:28 ?        00:00:00 [scsi_tmf_19]
root         242       2  0 14:28 ?        00:00:00 [scsi_eh_20]
root         243       2  0 14:28 ?        00:00:00 [scsi_tmf_20]
root         244       2  0 14:28 ?        00:00:00 [scsi_eh_21]
root         245       2  0 14:28 ?        00:00:00 [scsi_tmf_21]
root         246       2  0 14:28 ?        00:00:00 [scsi_eh_22]
root         247       2  0 14:28 ?        00:00:00 [scsi_tmf_22]
root         248       2  0 14:28 ?        00:00:00 [scsi_eh_23]
root         249       2  0 14:28 ?        00:00:00 [scsi_tmf_23]
root         250       2  0 14:28 ?        00:00:00 [scsi_eh_24]
root         251       2  0 14:28 ?        00:00:00 [scsi_tmf_24]
root         252       2  0 14:28 ?        00:00:00 [scsi_eh_25]
root         253       2  0 14:28 ?        00:00:00 [scsi_tmf_25]
root         254       2  0 14:28 ?        00:00:00 [scsi_eh_26]
root         255       2  0 14:28 ?        00:00:00 [scsi_tmf_26]
root         256       2  0 14:28 ?        00:00:00 [scsi_eh_27]
root         257       2  0 14:28 ?        00:00:00 [scsi_tmf_27]
root         258       2  0 14:28 ?        00:00:00 [scsi_eh_28]
root         259       2  0 14:28 ?        00:00:00 [scsi_tmf_28]
root         260       2  0 14:28 ?        00:00:00 [scsi_eh_29]
root         261       2  0 14:28 ?        00:00:00 [scsi_tmf_29]
root         262       2  0 14:28 ?        00:00:00 [scsi_eh_30]
root         263       2  0 14:28 ?        00:00:00 [scsi_tmf_30]
root         264       2  0 14:28 ?        00:00:00 [scsi_eh_31]
root         265       2  0 14:28 ?        00:00:00 [scsi_tmf_31]
root         292       2  0 14:28 ?        00:00:00 [scsi_eh_32]
root         293       2  0 14:28 ?        00:00:00 [scsi_tmf_32]
root         315       2  0 14:28 ?        00:00:00 [jbd2/sda5-8]
root         316       2  0 14:28 ?        00:00:00 [ext4-rsv-conver]
root         356       1  0 14:28 ?        00:00:00 /lib/systemd/systemd-journald
root         377       1  0 14:28 ?        00:00:00 /lib/systemd/systemd-udevd
root         378       2  0 14:28 ?        00:00:00 [ttm_swap]
root         379       2  0 14:28 ?        00:00:01 [irq/16-vmwgfx]
root         380       2  0 14:28 ?        00:00:00 [card0-crtc0]
root         381       2  0 14:28 ?        00:00:00 [card0-crtc1]
root         384       2  0 14:28 ?        00:00:00 [loop0]
root         387       2  0 14:28 ?        00:00:00 [card0-crtc2]
root         389       2  0 14:28 ?        00:00:00 [card0-crtc3]
root         390       2  0 14:28 ?        00:00:00 [card0-crtc4]
root         393       2  0 14:28 ?        00:00:00 [loop1]
root         394       2  0 14:28 ?        00:00:00 [card0-crtc5]
root         397       2  0 14:28 ?        00:00:00 [card0-crtc6]
root         399       2  0 14:28 ?        00:00:00 [card0-crtc7]
root         401       2  0 14:28 ?        00:00:00 [loop2]
root         410       2  0 14:28 ?        00:00:00 [loop3]
root         424       2  0 14:28 ?        00:00:00 [loop4]
root         435       2  0 14:28 ?        00:00:00 [loop5]
root         436       1  0 14:28 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root         439       2  0 14:28 ?        00:00:00 [loop6]
root         443       2  0 14:28 ?        00:00:00 [loop7]
root         445       2  0 14:28 ?        00:00:00 [loop8]
root         446       2  0 14:28 ?        00:00:00 [loop9]
root         447       2  0 14:28 ?        00:00:00 [loop10]
root         457       2  0 14:28 ?        00:00:00 [loop11]
root         469       2  0 14:28 ?        00:00:00 [loop12]
root         586       2  0 14:28 ?        00:00:00 [kworker/u257:2-hci0]
root         605       2  0 14:28 ?        00:00:00 [cryptd]
systemd+     720       1  0 14:28 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     721       1  0 14:28 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         740       1  0 14:28 ?        00:00:00 /usr/bin/VGAuthService
root         746       1  0 14:28 ?        00:00:15 /usr/bin/vmtoolsd
root         764       1  0 14:28 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root         765       1  0 14:28 ?        00:00:00 /usr/sbin/acpid
avahi        768       1  0 14:28 ?        00:00:00 avahi-daemon: running [aadisharrma-virtual-machine.local]
root         770       1  0 14:28 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
root         773       1  0 14:28 ?        00:00:00 /usr/sbin/cron -f
message+     776       1  0 14:28 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         777       1  0 14:28 ?        00:00:01 /usr/sbin/NetworkManager --no-daemon
root         784       1  0 14:28 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         788       1  0 14:28 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         793       1  0 14:28 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
syslog       798       1  0 14:28 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         802       1  0 14:28 ?        00:00:02 /usr/lib/snapd/snapd
root         806       1  0 14:28 ?        00:00:00 /usr/libexec/switcheroo-control
root         807       1  0 14:28 ?        00:00:00 /lib/systemd/systemd-logind
root         812       1  0 14:28 ?        00:00:00 /usr/lib/udisks2/udisksd
root         813       1  0 14:28 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        827     768  0 14:28 ?        00:00:00 avahi-daemon: chroot helper
root         859       1  0 14:28 ?        00:00:00 /usr/sbin/cupsd -l
root         867       1  0 14:28 ?        00:00:00 /usr/sbin/cups-browsed
root         884       1  0 14:28 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
